iter,propose_t0,propose_t1,train_t0,train_t1,prompt_tokens,completion_tokens,proposer_latency_s,guard_ok,guard_violations,val_acc,decision,exit_code,discarded_by_rollback,E_prop_J,E_train_J,E_iter_J,proposer,patience,loop_budget,run
1,1786614810.596096,1786614870.1433704,1786614870.1508963,1786614918.0751731,2591,2045,59.54712271690369,True,[],0.0436,reverted,0,True,5298.804,4313.406,9612.21,dense,1,10,run_1_repetition_0
2,1786614918.0827165,1786614978.984836,1786614978.9999068,1786615026.928115,2638,2096,60.90201711654663,True,[],0.0964,reverted,0,True,5495.52,4017.501,9513.021,dense,1,10,run_1_repetition_0
3,1786615026.9349296,1786615085.994525,1786615086.0088177,1786615133.8943243,2670,2032,59.059465646743774,True,[],0.8494,keep,0,False,5338.862,4638.793,9977.655,dense,1,10,run_1_repetition_0
4,1786615133.8968706,1786615193.6753552,1786615193.681992,1786615241.5661206,2775,2053,59.778401613235474,True,[],0.7992,reverted,0,True,5442.372,4456.615,9898.987,dense,1,10,run_1_repetition_0
5,1786615241.5744605,1786615301.5758216,1786615301.5832958,1786615349.8801763,2807,2060,60.0012309551239,True,[],0.552,reverted,0,True,5414.988,4482.478,9897.466,dense,1,10,run_1_repetition_0
6,1786615349.8873558,1786615412.06557,1786615412.0731516,1786615460.0078228,2841,2134,62.17812705039978,True,[],0.8026,reverted,0,True,5640.366,4630.818,10271.184,dense,1,10,run_1_repetition_0
7,1786615460.014727,1786615521.5690508,1786615521.5764637,1786615569.659825,2874,2112,61.55423593521118,True,[],0.2604,reverted,0,True,5622.173,4499.029,10121.202,dense,1,10,run_1_repetition_0
8,1786615569.6673105,1786615632.1849103,1786615632.1924858,1786615680.5880532,2907,2145,62.51751327514648,True,[],0.189,reverted,0,True,5675.767,4390.249,10066.016,dense,1,10,run_1_repetition_0
9,1786615680.5947616,1786615743.881482,1786615743.8883183,1786615791.975212,2940,2171,63.286635398864746,True,[],0.264,reverted,0,True,5750.165,4463.803,10213.968,dense,1,10,run_1_repetition_0
10,1786615791.9813085,1786615853.581518,1786615853.5961983,1786615901.6335394,2973,2112,61.6001250743866,True,[],0.7052,reverted,0,True,5630.896,4633.676,10264.572,dense,1,10,run_1_repetition_0
1,1786613597.393438,1786613656.9150915,1786613656.9223042,1786613704.8482292,2591,2044,59.52155017852783,True,[],0.0924,reverted,0,True,5328.608,4286.718,9615.326,dense,1,10,run_1_repetition_1
2,1786613704.85558,1786613765.4088852,1786613765.416391,1786613813.292602,2637,2084,60.553152561187744,True,[],0.639,reverted,0,True,5499.964,4560.511,10060.475,dense,1,10,run_1_repetition_1
3,1786613813.300137,1786613873.988023,1786613874.0019362,1786613922.0343854,2670,2088,60.68780279159546,True,[],0.5284,reverted,0,True,5530.283,4645.246,10175.529,dense,1,10,run_1_repetition_1
4,1786613922.0417442,1786613980.830467,1786613980.8372395,1786614028.7193706,2702,2022,58.78863453865051,True,[],0.5442,reverted,0,True,5404.426,4205.988,9610.414,dense,1,10,run_1_repetition_1
5,1786614028.7255938,1786614088.6873355,1786614088.6945071,1786614136.6158395,2735,2062,59.96165418624878,True,[],0.6714,reverted,0,True,5462.24,4560.977,10023.217,dense,1,10,run_1_repetition_1
6,1786614136.6227672,1786614195.9709768,1786614195.9781785,1786614243.9034302,2768,2040,59.34812378883362,True,[],0.6642,reverted,0,True,5417.371,4586.645,10004.016,dense,1,10,run_1_repetition_1
7,1786614243.910422,1786614303.192136,1786614303.1988544,1786614351.230915,2801,2037,59.28162622451782,True,[],0.6084,reverted,0,True,5458.68,4389.778,9848.458,dense,1,10,run_1_repetition_1
8,1786614351.2380078,1786614410.9776642,1786614410.984173,1786614458.8601737,2834,2052,59.73956990242005,True,[],0.6528,reverted,0,True,5421.239,4525.024,9946.263,dense,1,10,run_1_repetition_1
9,1786614458.868387,1786614521.7946324,1786614521.809265,1786614524.4800048,2867,2161,62.926114082336426,True,[],,errored,1,False,5719.351,30.755,5750.106,dense,1,10,run_1_repetition_1
10,1786614524.4950628,1786614583.8702185,1786614583.8846576,1786614631.8136904,3143,2029,59.37507057189941,True,[],0.663,reverted,0,True,5562.052,4433.061,9995.113,dense,1,10,run_1_repetition_1
1,1786618620.333922,1786618682.4432635,1786618682.4579282,1786618730.3827114,2591,2133,62.10923361778259,True,[],0.7744,reverted,0,True,5483.326,4475.441,9958.767,dense,1,10,run_1_repetition_2
2,1786618730.3892796,1786618790.2978597,1786618790.3049088,1786618838.1793702,2637,2061,59.90848422050476,True,[],0.646,reverted,0,True,5408.307,4497.408,9905.715,dense,1,10,run_1_repetition_2
3,1786618838.1862512,1786618897.1302242,1786618897.137385,1786618944.8595116,2670,2028,58.94384121894837,True,[],0.741,reverted,0,True,5360.645,4345.745,9706.39,dense,1,10,run_1_repetition_2
4,1786618944.867237,1786619004.3954537,1786619004.4026494,1786619052.3300333,2703,2047,59.528114795684814,True,[],0.659,reverted,0,True,5373.519,4371.487,9745.006,dense,1,10,run_1_repetition_2
5,1786619052.3370152,1786619112.5874882,1786619112.5943863,1786619115.3150396,2736,2071,60.25038504600525,True,[],,errored,1,False,5462.113,39.271,5501.384,dense,1,10,run_1_repetition_2
6,1786619115.3219695,1786619175.3177297,1786619175.3324797,1786619178.0030131,3054,2051,59.99567317962647,True,[],,errored,1,False,5704.981,49.446,5754.427,dense,1,10,run_1_repetition_2
7,1786619178.0113995,1786619238.3492992,1786619238.3567262,1786619241.0268507,3084,2062,60.33781409263611,True,[],,errored,1,False,5751.635,39.752,5791.387000000001,dense,1,10,run_1_repetition_2
8,1786619241.0411785,1786619301.56692,1786619301.5742743,1786619304.2459872,3105,2068,60.52561259269714,True,[],,errored,1,False,5625.87,36.102,5661.972,dense,1,10,run_1_repetition_2
9,1786619304.2524595,1786619364.797957,1786619364.8053486,1786619367.4758945,3137,2068,60.54536700248718,True,[],,errored,1,False,5650.1,32.003,5682.103,dense,1,10,run_1_repetition_2
10,1786619367.482685,1786619428.9952447,1786619429.0017755,1786619431.6708145,3158,2101,61.51247525215149,True,[],,errored,1,False,5726.48,34.685,5761.165,dense,1,10,run_1_repetition_2
