proposer,thinking_requested,n,E_mean,E_sd,acc_mean,acc_sd,E_wasted_mean,kept_mean,on_frontier,is_baseline,dE_vs_baseline_pct,dAcc_vs_baseline_pp
moe,off,3,52126.41133333333,4578.400050433593,0.8469000000000001,0.01489395850672345,29181.65533333334,2.0,True,False,-51.78478965456476,8.973333333333343
moe,on,3,91957.13133333332,12634.046393312019,0.8378333333333333,0.030321664422213596,67941.09833333333,1.0,False,False,-14.942688042592405,8.066666666666666
dense,off,3,108111.96500000001,8385.003668099915,0.7571666666666667,0.003442867022313449,91089.32966666667,0.3333333333333333,False,True,0.0,0.0
dense,on,3,172624.69933333332,22536.757360345273,0.8489666666666666,0.02083682637383468,136162.507,1.3333333333333333,True,True,59.672150379778316,9.18
