,sum_sq,df,F,PR(>F),partial_eta_sq
C(proposer),8014082944.894062,1.0,4.064732026195114,0.0688737227326693,0.26981774512332557
C(patience),338283552.52600044,1.0,0.17157696012661713,0.6866762741624681,0.015358347414962668
C(loop_budget),20480504947.1843,1.0,10.38768439806408,0.00811574196464877,0.4856853226712251
C(proposer):C(patience),528608852.4211932,1.0,0.2681096947138065,0.614856601776214,0.023793670986322086
C(proposer):C(loop_budget),651258989.7999705,1.0,0.3303176784405505,0.5770374264664507,0.029153434865209698
C(patience):C(loop_budget),345174004.60206866,1.0,0.17507178809647256,0.6836955819757824,0.01566627860797785
Residual,21687755016.990414,11.0,,,0.5
