hypothesis,factor,outcome,level_a,level_b,mean_a,mean_b,median_a,median_b,pct_change,cliffs_delta,delta_ci_lo,delta_ci_hi,magnitude,U,p_raw,p_holm
H_prop,proposer,E_gpu_total_J,dense,moe,156395.81241666668,90696.2655,123943.4105,67315.3065,-42.00850770967654,0.5555555555555556,0.1111111111111111,0.875,large,112.0,0.02257606252313358,0.09030425009253432
H_prop,proposer,test_acc,dense,moe,0.7938749999999999,0.8223833333333334,0.80335,0.8288500000000001,3.591035532462097,-0.4444444444444444,-0.8194444444444444,-0.013888888888888888,medium,40.0,0.06890397974793476,0.20671193924380427
H_pat,patience,E_wasted_J,1,3,101517.32483333333,91564.47575,92683.9665,90859.775,-9.804089203171461,0.041666666666666664,-0.4444444444444444,0.4861111111111111,negligible,75.0,0.8852339144732017,1.0
H_pat,patience,E_per_kept_J,1,3,92432.03513636364,83779.01482142857,78700.523,63926.184,-9.361494964564391,0.11688311688311688,-0.45454545454545453,0.6883116883116883,negligible,43.0,0.7242332830568124,1.0
H_bud,loop_budget,E_per_kept_J,10,20,57917.96991666666,120215.97344444443,52376.5465,129615.301,107.56247778955854,-0.8024691358024691,-1.0,-0.4074074074074074,large,8.0,0.004718198728115028,0.02359099364057514
