proposer,patience,loop_budget,n,E_mean,E_sd,acc_mean,acc_sd,E_wasted_mean,kept_mean,on_frontier,is_baseline
moe,1,10,3,56546.48166666667,8539.363479988679,0.8208666666666667,0.020256686138984733,37549.241,1.3333333333333333,True,False
moe,3,10,3,59500.468666666675,10426.544223423232,0.8133666666666667,0.0453674259059662,37634.526000000005,1.6666666666666667,False,False
dense,3,10,3,105443.95666666667,3468.8556903872845,0.7728999999999999,0.03690907747424746,83828.47566666667,0.6666666666666666,False,False
dense,1,10,3,107886.00166666666,3923.9702114717084,0.8214,0.031411940404884243,75576.121,1.6666666666666667,True,False
moe,3,20,3,112026.16833333333,41701.44208333117,0.8311333333333334,0.03305455087175341,86818.58333333333,1.3333333333333333,True,False
moe,1,20,3,134711.94333333333,5374.125491986986,0.8241666666666667,0.02041208792194792,105889.91799999999,1.3333333333333333,False,False
dense,3,20,3,184992.625,44798.57078008458,0.7763,0.033082170424565585,157976.318,0.3333333333333333,False,False
dense,1,20,3,227260.66633333333,17127.567471463833,0.8049,0.04647268014651188,187054.01933333333,1.3333333333333333,False,False
